date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:32	107/107	U-----	200	untouched ('OK')	text/plain	etag:%22d76f5b545d4dfc0c3f757383ac79fcb2%22	https://jolly-prototyper-130303.framer.app/robots.txt		(from )
14:02:32	523299/523299	U--M-Z	200	updated ('OK')	text/html	etag:%22874663b7f6f7d84cf2bf943a7d5d0328%22	https://jolly-prototyper-130303.framer.app/	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/index.html	(from )
14:02:33	526/526	U--MC-	200	updated ('OK')	image/png	date:Wed,%2010%20Jan%202024%2022:02:31%20GMT	https://framerusercontent.com/images/YW8JPsB3yai7LEo9NHXpRYL9A.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/YW8JPsB3yai7LEo9NHXpRYL9A.png	(from https://jolly-prototyper-130303.framer.app/)
14:02:33	354542/354542	U--M-Z	200	updated ('OK')	text/html	etag:%227e4d07f08215a23665e9365d7d07b2f1%22	https://jolly-prototyper-130303.framer.app/about	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/about.html	(from https://jolly-prototyper-130303.framer.app/)
14:02:33	56928/56928	U--MC-	200	updated ('OK')	image/png	date:Wed,%2010%20Jan%202024%2022:02:31%20GMT	https://framerusercontent.com/images/MksWAUiDaYtTiUK7BdHvY45cMo.png?scale-down-to=512	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/MksWAUiDaYtTiUK7BdHvY45cMo17f5.png	(from https://jolly-prototyper-130303.framer.app/)
14:02:33	87877/87877	U--MC-	200	updated ('OK')	image/png	date:Wed,%2010%20Jan%202024%2022:02:31%20GMT	https://framerusercontent.com/images/0AjXX6KWHcASTNvSwO4r1bSkzQ.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/0AjXX6KWHcASTNvSwO4r1bSkzQ.png	(from https://jolly-prototyper-130303.framer.app/)
14:02:34	339290/339290	---M-Z	200	added ('OK')	text/html	etag:%22be21f9e03fda091f51dcd147907e3469%22	https://jolly-prototyper-130303.framer.app/blog/taho-shopify-site	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/blog/taho-shopify-site.html	(from https://jolly-prototyper-130303.framer.app/)
14:02:35	38000/38000	---MC-	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202024%2022:02:32%20GMT	https://framerusercontent.com/images/cprb0XPQrUpJUS7rKTvqXz6k.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/cprb0XPQrUpJUS7rKTvqXz6k.png	(from https://jolly-prototyper-130303.framer.app/)
14:02:35	340992/340992	U--M-Z	200	updated ('OK')	text/html	etag:%226ccfce4f86b9e0a99c50a9607137c3c7%22	https://jolly-prototyper-130303.framer.app/blog/novilla-shopify-site	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/blog/novilla-shopify-site.html	(from https://jolly-prototyper-130303.framer.app/)
14:02:36	378757/378757	U--M-Z	200	updated ('OK')	text/html	etag:%2240dd32050b88c4c2091f2d33dfcfa598%22	https://jolly-prototyper-130303.framer.app/projects	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/projects.html	(from https://jolly-prototyper-130303.framer.app/)
14:02:36	4442/4442	U--MC-	200	updated ('OK')	image/png	date:Wed,%2010%20Jan%202024%2022:02:33%20GMT	https://framerusercontent.com/images/TfQ5uvnBsDVaCf2D8hpDwQzRmU.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/TfQ5uvnBsDVaCf2D8hpDwQzRmU.png	(from https://jolly-prototyper-130303.framer.app/)
14:02:36	96531/96531	U--MC-	200	updated ('OK')	image/png	date:Wed,%2010%20Jan%202024%2022:02:33%20GMT	https://framerusercontent.com/images/qMIFtTN7C1YhcEvXsUoSvNrBxI.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/qMIFtTN7C1YhcEvXsUoSvNrBxI.png	(from https://jolly-prototyper-130303.framer.app/)
14:02:37	392185/392185	U--M-Z	200	updated ('OK')	text/html	etag:%22f876e596599c6a34a30141e062c0f74f%22	https://jolly-prototyper-130303.framer.app/stack	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/stack.html	(from https://jolly-prototyper-130303.framer.app/)
14:02:37	7731/7731	U--MC-	200	updated ('OK')	image/png	date:Wed,%2010%20Jan%202024%2022:02:34%20GMT	https://framerusercontent.com/images/ulBdKJLxjuCLvwrvIRgWhda6gM.png?scale-down-to=1024	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/ulBdKJLxjuCLvwrvIRgWhda6gMbf23.png	(from https://jolly-prototyper-130303.framer.app/)
14:02:38	18553/18553	U--MC-	200	updated ('OK')	image/png	date:Wed,%2010%20Jan%202024%2022:02:34%20GMT	https://framerusercontent.com/images/HxeJh4yATjEuoALocczRry1edHM.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/HxeJh4yATjEuoALocczRry1edHM.png	(from https://jolly-prototyper-130303.framer.app/)
14:02:38	292224/292224	U--M-Z	200	updated ('OK')	text/html	etag:%227eb46f8e426642ef48d99df69628e146%22	https://jolly-prototyper-130303.framer.app/contact	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/contact.html	(from https://jolly-prototyper-130303.framer.app/)
14:02:38	267752/267752	U--M-Z	200	updated ('OK')	text/html	etag:%225b711c4e163fc2bb95a6a326e4499eb7%22	https://jolly-prototyper-130303.framer.app/licensing	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/licensing.html	(from https://jolly-prototyper-130303.framer.app/)
14:02:38	226528/226528	U--M-Z	200	updated ('OK')	text/html	etag:%22a7c7d91b134a55135a524b7696f12c65%22	https://jolly-prototyper-130303.framer.app/404	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/404.html	(from https://jolly-prototyper-130303.framer.app/)
14:02:38	18834/18834	U--MC-	200	updated ('OK')	image/png	date:Wed,%2010%20Jan%202024%2022:02:36%20GMT	https://framerusercontent.com/images/ulBdKJLxjuCLvwrvIRgWhda6gM.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/ulBdKJLxjuCLvwrvIRgWhda6gM.png	(from https://jolly-prototyper-130303.framer.app/)
14:02:39	338963/338963	U--M-Z	200	updated ('OK')	text/html	etag:%229205b3c4387b0c816ccea86f039029b6%22	https://jolly-prototyper-130303.framer.app/blog/ai-blog-summarizer-app	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/blog/ai-blog-summarizer-app.html	(from https://jolly-prototyper-130303.framer.app/blog/taho-shopify-site)
14:02:39	342208/342208	U--M-Z	200	updated ('OK')	text/html	etag:%22caba094d8ef149bae6a21bb25f9840fe%22	https://jolly-prototyper-130303.framer.app/blog/videogame-website-hero	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/blog/videogame-website-hero.html	(from https://jolly-prototyper-130303.framer.app/projects)
14:02:40	342299/342299	U--M-Z	200	updated ('OK')	text/html	etag:%228e190676624fba38057ef735e3cd34b4%22	https://jolly-prototyper-130303.framer.app/blog/fullstack-restaurant-reservation-app	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/blog/fullstack-restaurant-reservation-app.html	(from https://jolly-prototyper-130303.framer.app/projects)
14:02:42	344521/344521	U--M-Z	200	updated ('OK')	text/html	etag:%22c322a04a5323eba7307e656631e74219%22	https://jolly-prototyper-130303.framer.app/blog/backend-api-project	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/blog/backend-api-project.html	(from https://jolly-prototyper-130303.framer.app/projects)
14:02:43	77333/77333	U--MC-	200	updated ('OK')	image/png	date:Wed,%2010%20Jan%202024%2022:02:39%20GMT	https://framerusercontent.com/images/0a71klLgZjUqeITGLpvrVzJdG0.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/0a71klLgZjUqeITGLpvrVzJdG0.png	(from https://jolly-prototyper-130303.framer.app/projects)
