date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:40	522442/522442	---M-Z	200	added ('OK')	text/html	etag:%220385cde1f5327b276dd55c1b680b962c%22	https://jolly-prototyper-130303.framer.app/	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/index.html	(from )
21:32:40	107/107	---M-Z	200	added ('OK')	text/plain	etag:%22d76f5b545d4dfc0c3f757383ac79fcb2%22	https://jolly-prototyper-130303.framer.app/robots.txt		(from )
21:32:41	526/526	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2005:32:37%20GMT	https://framerusercontent.com/images/YW8JPsB3yai7LEo9NHXpRYL9A.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/YW8JPsB3yai7LEo9NHXpRYL9A.png	(from https://jolly-prototyper-130303.framer.app/)
21:32:41	87877/87877	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2005:32:38%20GMT	https://framerusercontent.com/images/0AjXX6KWHcASTNvSwO4r1bSkzQ.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/0AjXX6KWHcASTNvSwO4r1bSkzQ.png	(from https://jolly-prototyper-130303.framer.app/)
21:32:41	56928/56928	---MC-	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202023%2023:38:03%20GMT	https://framerusercontent.com/images/MksWAUiDaYtTiUK7BdHvY45cMo.png?scale-down-to=512	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/MksWAUiDaYtTiUK7BdHvY45cMo17f5.png	(from https://jolly-prototyper-130303.framer.app/)
21:32:42	353403/353403	---M-Z	200	added ('OK')	text/html	etag:%226e245f21494ddd6c2fea5116911e72c4%22	https://jolly-prototyper-130303.framer.app/about	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/about.html	(from https://jolly-prototyper-130303.framer.app/)
21:32:43	343853/343853	---M-Z	200	added ('OK')	text/html	etag:%2267a6c61dc9158a31142819c105b5dc5a%22	https://jolly-prototyper-130303.framer.app/blog/novilla-shopify-site	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/blog/novilla-shopify-site.html	(from https://jolly-prototyper-130303.framer.app/)
21:32:43	96531/96531	---MC-	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202023%2023:38:03%20GMT	https://framerusercontent.com/images/qMIFtTN7C1YhcEvXsUoSvNrBxI.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/qMIFtTN7C1YhcEvXsUoSvNrBxI.png	(from https://jolly-prototyper-130303.framer.app/)
21:32:44	341824/341824	---M-Z	200	added ('OK')	text/html	etag:%22d168758eb68a4e61dddbcfe87e08cb36%22	https://jolly-prototyper-130303.framer.app/blog/ai-blog-summarizer-app	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/blog/ai-blog-summarizer-app.html	(from https://jolly-prototyper-130303.framer.app/)
21:32:44	135439/135439	---MC-	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202023%2023:38:04%20GMT	https://framerusercontent.com/images/9EqBxFV6j4iY9BPtqH4dNDNMmsY.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/9EqBxFV6j4iY9BPtqH4dNDNMmsY.png	(from https://jolly-prototyper-130303.framer.app/)
21:32:44	357830/357830	---M-Z	200	added ('OK')	text/html	etag:%22ebf2d22ea8f0a03ac5a6bb455d05d1fc%22	https://jolly-prototyper-130303.framer.app/projects	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/projects.html	(from https://jolly-prototyper-130303.framer.app/)
21:32:44	4442/4442	---MC-	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202023%2023:38:05%20GMT	https://framerusercontent.com/images/TfQ5uvnBsDVaCf2D8hpDwQzRmU.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/TfQ5uvnBsDVaCf2D8hpDwQzRmU.png	(from https://jolly-prototyper-130303.framer.app/)
21:32:44	7731/7731	---MC-	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202023%2023:38:05%20GMT	https://framerusercontent.com/images/ulBdKJLxjuCLvwrvIRgWhda6gM.png?scale-down-to=1024	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/ulBdKJLxjuCLvwrvIRgWhda6gMbf23.png	(from https://jolly-prototyper-130303.framer.app/)
21:32:45	18553/18553	---MC-	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202023%2023:38:06%20GMT	https://framerusercontent.com/images/HxeJh4yATjEuoALocczRry1edHM.png	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/framerusercontent.com/images/HxeJh4yATjEuoALocczRry1edHM.png	(from https://jolly-prototyper-130303.framer.app/)
21:32:46	390786/390786	---M-Z	200	added ('OK')	text/html	etag:%22c0abdb1b58e5da68e4d3471a911515f9%22	https://jolly-prototyper-130303.framer.app/stack	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/stack.html	(from https://jolly-prototyper-130303.framer.app/)
21:32:46	292289/292289	---M-Z	200	added ('OK')	text/html	etag:%221c6f6181f1d9dab474e8a6af8344ecf7%22	https://jolly-prototyper-130303.framer.app/contact	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/contact.html	(from https://jolly-prototyper-130303.framer.app/)
21:32:47	267817/267817	---M-Z	200	added ('OK')	text/html	etag:%225ed76b39229335f8b0acfdb5b24e6bf4%22	https://jolly-prototyper-130303.framer.app/licensing	C:/Users/gvill/Desktop/DEV/GPVPortfolio24/jolly-prototyper-130303.framer.app/licensing.html	(from https://jolly-prototyper-130303.framer.app/)
